uStateID,uState,uCapital,uPopulation,uLatitude,uLongitude
AL,Alabama,Montgomery ,198525,32.379583,-86.307571
AK,Alaska,Juneau ,32113,58.299764,-134.406746
AZ,Arizona,Phoenix ,1680992,33.448143,-112.096962
AR,Arkansas,Little Rock ,197312,34.746613,-92.288986
CA,California,Sacramento ,513624,38.576668,-121.493629
CO,Colorado,Denver ,727211,39.739227,-104.984856
CT,Connecticut,Hartford ,122105,41.764046,-72.682198
DE,Delaware,Dover ,38079,39.157307,-75.519722
FL,Florida,Tallahassee ,194500,30.438118,-84.281296
GA,Georgia,Atlanta ,506811,33.749027,-84.388229
HI,Hawaii,Honolulu ,345064,21.307442,-157.857376
ID,Idaho,Boise ,228959,43.617775,-116.199722
IL,Illinois,Springfield ,114230,39.798363,-89.654961
IN,Indiana,Indianapolis ,876384,39.768623,-86.162643
IA,Iowa,Des Moines ,214237,41.591087,-93.603729
KS,Kansas,Topeka ,125310,39.048191,-95.677956
KY,Kentucky,Frankfort ,27679,38.186722,-84.875374
LA,Louisiana,Baton Rouge ,220236,30.457069,-91.187393
ME,Maine,Augusta ,18681,44.307167,-69.781693
MD,Maryland,Annapolis ,39174,38.978764,-76.490936
MA,Massachusetts,Boston ,692600,42.358162,-71.063698
MI,Michigan,Lansing ,118210,42.733635,-84.555328
MN,Minnesota,Saint Paul ,308096,44.955097,-93.102211
MS,Mississippi,Jackson ,160628,32.303848,-90.182106
MO,Missouri,Jefferson City ,42838,38.579201,-92.172935
MT,Montana,Helena ,32315,46.585709,-112.018417
NE,Nebraska,Lincoln ,289102,40.808075,-96.699654
NV,Nevada,Carson City ,55916,39.163914,-119.766121
NH,New Hampshire,Concord ,43627,43.206898,-71.537994
NJ,New Jersey,Trenton ,83203,40.220596,-74.769913
NM,New Mexico,Santa Fe ,84683,35.68224,-105.939728
NY,New York,Albany ,96460,42.652843,-73.757874
NC,North Carolina,Raleigh ,474069,35.78043,-78.639099
ND,North Dakota,Bismarck ,73529,46.82085,-100.783318
OH,Ohio,Columbus ,898553,39.961346,-82.999069
OK,Oklahoma,Oklahoma City ,655057,35.492207,-97.503342
OR,Oregon,Salem ,174365,44.938461,-123.030403
PA,Pennsylvania,Harrisburg ,49528,40.264378,-76.883598
RI,Rhode Island,Providence ,179883,41.830914,-71.414963
SC,South Carolina,Columbia ,131674,34.000343,-81.033211
SD,South Dakota,Pierre ,13646,44.367031,-100.346405
TN,Tennessee,Nashville ,670820,36.16581,-86.784241
TX,Texas,Austin ,978908,30.27467,-97.740349
UT,Utah,Salt Lake City ,200567,40.777477,-111.888237
VT,Vermont,Montpelier ,7855,44.262436,-72.580536
VA,Virginia,Richmond ,230436,37.538857,-77.43364
WA,Washington,Olympia ,46478,47.035805,-122.905014
WV,West Virginia,Charleston ,46536,38.336246,-81.612328
WI,Wisconsin,Madison ,259680,43.074684,-89.384445
WY,Wyoming,Cheyenne ,64235,41.140259,-104.820236
